data_se,y_real,y_pred,lower_bruto,upper_bruto,fase,lower_calibrado,upper_calibrado,largura_bruta,largura_calibrada,alpha
2024-03-17,174,203.15404026579574,42.662265718905005,215.24125961564553,avaliacao,10.521579300205175,247.38194603434536,172.57899389674054,236.8603667341402,0.1
2024-03-24,155,207.64416458956077,52.76758728008569,215.97535234940625,avaliacao,20.626900861385863,248.11603876810608,163.20776506932054,227.4891379067202,0.1
2024-03-31,234,190.54480572063747,63.32116725783928,218.2498229593895,avaliacao,31.18048083913945,250.39050937808932,154.9286557015502,219.21002853894987,0.1
2024-04-07,248,179.39581892644128,77.93993430460043,235.33654244721785,avaliacao,45.7992478859006,267.4772288659177,157.39660814261742,221.6779809800171,0.1
2024-04-14,196,190.91164766712018,84.9973127261349,221.96368893966783,avaliacao,52.856626307435064,254.10437535836766,136.96637621353295,201.2477490509326,0.1
2024-04-21,274,209.99112340057442,66.71356290272684,209.99112340057442,avaliacao,34.572876484027006,242.13180981927425,143.2775604978476,207.55893333524725,0.1
2024-04-28,331,195.38100317794573,68.48592190109929,209.54119442304605,avaliacao,36.34523548239946,241.68188084174588,141.05527252194676,205.33664535934642,0.1
2024-05-05,285,181.17194276123283,50.03816383804871,257.8602739069801,avaliacao,17.89747741934888,290.00096032567996,207.8221100689314,272.10348290633107,0.1
2024-05-12,245,178.2651531228542,76.3127490524836,267.8652095880818,avaliacao,44.17206263378377,300.00589600678165,191.55246053559824,255.8338333729979,0.1
2024-05-19,182,168.1905901758891,50.91376092990819,223.13336263283153,avaliacao,18.773074511208364,255.27404905153136,172.21960170292334,236.500974540323,0.1
2024-05-26,98,158.51298800223765,65.98634060537023,208.51116942401197,avaliacao,33.8456541866704,240.6518558427118,142.52482881864174,206.8062016560414,0.1
2024-06-02,234,93.03426944005626,45.057237020519345,165.95006077114428,avaliacao,12.916550601819516,198.0907471898441,120.89282375062493,185.17419658802459,0.1
2024-06-09,176,166.1269225139577,56.99451390395945,217.6914852908399,avaliacao,24.85382748525962,249.83217170953972,160.69697138688045,224.9783442242801,0.1
2024-06-16,141,150.7930382662559,46.53601148312427,180.969475119404,avaliacao,14.39532506442444,213.11016153810382,134.43346363627973,198.71483647367938,0.1
2024-06-23,139,144.31152546261967,34.61257607059605,144.31152546261967,avaliacao,2.4718896518962197,176.4522118813195,109.69894939202362,173.98032222942328,0.1
2024-06-30,144,139.26275574149733,42.299261701485584,165.39935181101063,avaliacao,10.158575282785755,197.54003822971046,123.10009010952504,187.3814629469247,0.1
2024-07-07,116,140.25260682510032,48.638455490578714,140.25260682510032,avaliacao,16.497769071878885,172.39329324380014,91.61415133452161,155.89552417192127,0.1
2024-07-14,87,91.63920997405737,42.85796645134321,119.32337083137493,avaliacao,10.71728003264338,151.46405725007475,76.46540438003171,140.74677721743137,0.1
2024-07-21,103,87.33345302459801,50.59355378439688,98.44849427386524,avaliacao,18.452867365697053,130.58918069256507,47.854940489468355,112.13631332686802,0.1
2024-07-28,123,95.19275632839157,44.91629520184075,105.36263963830443,avaliacao,12.775608783140918,137.50332605700424,60.44634443646368,124.72771727386333,0.1
2024-08-04,95,106.54197011494095,37.81990030858646,116.49746935572239,avaliacao,5.679213889886633,148.63815577442222,78.67756904713593,142.9589418845356,0.1
2024-08-11,77,99.68724364043806,49.83991593485464,99.68724364043806,avaliacao,17.69922951615481,131.82793005913788,49.84732770558342,114.12870054298307,0.1
2024-08-18,85,85.91800029942866,53.19409497172407,95.6825738391413,avaliacao,21.05340855302424,127.82326025784113,42.48847886741723,106.76985170481689,0.1
2024-08-25,67,92.30274415726471,50.84617649455968,110.61284239201636,avaliacao,18.70549007585985,142.7535288107162,59.76666589745668,124.04803873485636,0.1
2024-09-01,67,66.45446150776718,37.33666457182696,77.5702847487744,avaliacao,5.195978153127129,109.71097116747423,40.23362017694744,104.5149930143471,0.1
2024-09-08,53,62.10910348888279,62.10910348888279,72.80202597309426,avaliacao,29.96841707018296,104.94271239179409,10.692922484211472,74.97429532161112,0.1
2024-09-15,56,46.635225345650824,39.98198068647973,49.29255976268042,avaliacao,7.841294267779901,81.43324618138024,9.310579076200689,73.59195191360034,0.1
2024-09-22,31,44.595300924406025,34.73141020296748,51.13276286561702,avaliacao,2.5907237842676523,83.27344928431685,16.401352662649536,80.6827255000492,0.1
2024-09-29,34,27.984411981424397,22.634569395405116,35.839413883038056,avaliacao,0.0,67.98010030173788,13.20484448763294,67.98010030173788,0.1
2024-10-06,28,32.9119122790999,17.75667384198644,32.9119122790999,avaliacao,0.0,65.05259869779974,15.15523843711346,65.05259869779974,0.1
2024-10-13,25,23.800766547964677,13.54224417066922,26.990817130213273,avaliacao,0.0,59.1315035489131,13.448572959544054,59.1315035489131,0.1
2024-10-20,25,23.26552881415839,13.55234903191758,26.97269595324701,avaliacao,0.0,59.11338237194684,13.420346921329429,59.11338237194684,0.1
2024-10-27,22,27.59819559445822,15.113517672021878,27.59819559445822,avaliacao,0.0,59.73888201315805,12.48467792243634,59.73888201315805,0.1
2024-11-03,23,20.929171214270326,13.390535944298684,26.036946536724813,avaliacao,0.0,58.17763295542464,12.646410592426129,58.17763295542464,0.1
2024-11-10,28,22.328344287968413,15.407604811934217,27.39004429712743,avaliacao,0.0,59.53073071582726,11.982439485193215,59.53073071582726,0.1
2024-11-17,29,35.728218582538794,22.17996440896297,35.728218582538794,avaliacao,0.0,67.86890500123863,13.548254173575824,67.86890500123863,0.1
2024-11-24,38,30.694545490533056,27.968852775578668,38.817443071673075,avaliacao,0.0,70.9581294903729,10.848590296094407,70.9581294903729,0.1
2024-12-01,66,45.81077165172849,34.60079307040223,56.76049476401712,avaliacao,2.4601066517024037,88.90118118271695,22.159701693614885,86.44107453101455,0.1
2024-12-08,108,62.937016298622034,52.09843845047772,73.97800189886767,avaliacao,19.957752031777893,106.1186883175675,21.879563448389952,86.1609362857896,0.1
2024-12-15,129,131.13292264553758,114.6250940652315,131.13292264553758,avaliacao,82.48440764653166,163.2736090642374,16.507828580306082,80.78920141770574,0.1
2024-12-22,179,141.36161636718595,127.43920552873342,153.2664261117427,avaliacao,95.2985191100336,185.40711253044253,25.82722058300928,90.10859342040894,0.1
2024-12-29,360,180.3132005763139,76.41096695867259,233.9711965387159,avaliacao,44.27028053997276,266.11188295741573,157.5602295800433,221.84160241744297,0.1
2025-01-05,609,193.53876706655615,115.09232852929293,278.8504275417919,avaliacao,82.9516421105931,310.9911139604917,163.75809901249895,228.0394718498986,0.1
