data_previsao,data_alvo,horizonte,municipio_id,y_real,y_pred_recursivo,y_naive,y_mm4,y_pred_direto,ano_alvo,periodo
2023-04-02,2023-04-02,1,5103403,64,66.54311633369535,80,70.0,54.153356408398814,2023,2023
2023-04-02,2023-04-02,1,5108402,18,26.919884886823365,27,38.75,21.032878718933194,2023,2023
2023-04-02,2023-04-09,2,5103403,80,71.66020977246139,80,70.0,54.82290325466817,2023,2023
2023-04-02,2023-04-09,2,5108402,58,18.814275723259485,27,38.75,38.06120846143152,2023,2023
2023-04-02,2023-04-16,3,5103403,79,74.41546352584521,80,70.0,47.14189893824293,2023,2023
2023-04-02,2023-04-16,3,5108402,101,47.07607139375558,27,38.75,40.86195177525085,2023,2023
2023-04-02,2023-04-23,4,5103403,92,65.29521184406833,80,70.0,58.040373915366764,2023,2023
2023-04-02,2023-04-23,4,5108402,101,65.30706446035354,27,38.75,54.066728194635566,2023,2023
2023-04-09,2023-04-09,1,5103403,80,63.363289334107094,64,71.5,67.75971853318322,2023,2023
2023-04-09,2023-04-09,1,5108402,58,16.91111098935023,18,34.25,20.409331081967608,2023,2023
2023-04-09,2023-04-16,2,5103403,79,70.71071003382913,64,71.5,51.17373343213883,2023,2023
2023-04-09,2023-04-16,2,5108402,101,45.61390839809193,18,34.25,32.794611394709996,2023,2023
2023-04-09,2023-04-23,3,5103403,92,63.19525114055827,64,71.5,55.06279673078276,2023,2023
2023-04-09,2023-04-23,3,5108402,101,59.60308019748693,18,34.25,53.758316281729584,2023,2023
2023-04-09,2023-04-30,4,5103403,114,72.16348481259948,64,71.5,54.35266749851704,2023,2023
2023-04-09,2023-04-30,4,5108402,90,52.90100648269822,18,34.25,56.477965221703684,2023,2023
2023-04-16,2023-04-16,1,5103403,79,72.0650433381134,80,70.25,64.37698903931631,2023,2023
2023-04-16,2023-04-16,1,5108402,101,47.7852216479628,58,39.0,43.219592502631535,2023,2023
2023-04-16,2023-04-23,2,5103403,92,63.72502511388342,80,70.25,65.47817804082621,2023,2023
2023-04-16,2023-04-23,2,5108402,101,56.20983480910597,58,39.0,47.47808674279207,2023,2023
2023-04-16,2023-04-30,3,5103403,114,71.21139203331265,80,70.25,57.385016510388645,2023,2023
2023-04-16,2023-04-30,3,5108402,90,56.92084205514585,58,39.0,61.64919743144842,2023,2023
2023-04-16,2023-05-07,4,5103403,99,65.97689875952379,80,70.25,56.86931770269248,2023,2023
2023-04-16,2023-05-07,4,5108402,62,70.3455278406838,58,39.0,59.64785400608735,2023,2023
2023-04-23,2023-04-23,1,5103403,92,70.34765418079353,79,75.75,79.47193007495427,2023,2023
2023-04-23,2023-04-23,1,5108402,101,66.77628473584149,101,51.0,61.87891430623843,2023,2023
2023-04-23,2023-04-30,2,5103403,114,72.68679036437491,79,75.75,71.98070240621371,2023,2023
2023-04-23,2023-04-30,2,5108402,90,61.28697274972339,101,51.0,72.19873930176898,2023,2023
2023-04-23,2023-05-07,3,5103403,99,67.36686748039452,79,75.75,80.9458590400681,2023,2023
2023-04-23,2023-05-07,3,5108402,62,72.47047508236902,101,51.0,47.465507414952526,2023,2023
2023-04-23,2023-05-14,4,5103403,81,62.795018343480216,79,75.75,67.46595123374594,2023,2023
2023-04-23,2023-05-14,4,5108402,74,65.20971824531956,101,51.0,49.17561730893025,2023,2023
2023-04-30,2023-04-30,1,5103403,114,77.30424536700694,92,78.75,70.39450920326215,2023,2023
2023-04-30,2023-04-30,1,5108402,90,69.72803784247056,101,69.5,80.70357276348767,2023,2023
2023-04-30,2023-05-07,2,5103403,99,72.866796134335,92,78.75,77.71719622917875,2023,2023
2023-04-30,2023-05-07,2,5108402,62,82.1458518020908,101,69.5,57.31690302142499,2023,2023
2023-04-30,2023-05-14,3,5103403,81,72.4099303538251,92,78.75,62.975351684874354,2023,2023
2023-04-30,2023-05-14,3,5108402,74,70.49643890065143,101,69.5,45.2140346968276,2023,2023
2023-04-30,2023-05-21,4,5103403,42,70.46032518909854,92,78.75,43.30019640306892,2023,2023
2023-04-30,2023-05-21,4,5108402,36,69.6480139002071,101,69.5,34.1121345777753,2023,2023
2023-05-07,2023-05-07,1,5103403,99,87.30918020388016,114,91.25,82.74473905769483,2023,2023
2023-05-07,2023-05-07,1,5108402,62,93.86050033648067,90,87.5,81.239918565735,2023,2023
2023-05-07,2023-05-14,2,5103403,81,79.58707575434237,114,91.25,74.59424062685527,2023,2023
2023-05-07,2023-05-14,2,5108402,74,79.52923284223031,90,87.5,59.03931373944015,2023,2023
2023-05-07,2023-05-21,3,5103403,42,74.5840246744338,114,91.25,56.54840367451802,2023,2023
2023-05-07,2023-05-21,3,5108402,36,77.68674942437816,90,87.5,45.367168101129195,2023,2023
2023-05-07,2023-05-28,4,5103403,22,47.94928835907457,114,91.25,33.071555112665315,2023,2023
2023-05-07,2023-05-28,4,5108402,30,39.027956407322534,90,87.5,29.779829087824364,2023,2023
2023-05-14,2023-05-14,1,5103403,81,80.37001063053002,99,96.0,59.048135396895766,2023,2023
2023-05-14,2023-05-14,1,5108402,74,69.87413769137254,62,88.5,56.02307850501729,2023,2023
2023-05-14,2023-05-21,2,5103403,42,70.3546574960067,99,96.0,40.34613188470745,2023,2023
2023-05-14,2023-05-21,2,5108402,36,68.03864292586202,62,88.5,36.24977570048718,2023,2023
2023-05-14,2023-05-28,3,5103403,22,47.1868068772373,99,96.0,27.849940108614078,2023,2023
2023-05-14,2023-05-28,3,5108402,30,38.19248129665981,62,88.5,20.537365594130616,2023,2023
2023-05-14,2023-06-04,4,5103403,30,28.192597239581758,99,96.0,35.104948918293815,2023,2023
2023-05-14,2023-06-04,4,5108402,30,26.827927675825407,62,88.5,22.437907596527356,2023,2023
2023-05-21,2023-05-21,1,5103403,42,76.20633250568615,81,96.5,47.071072514671314,2023,2023
2023-05-21,2023-05-21,1,5108402,36,67.25114057771378,74,81.75,48.77508089239958,2023,2023
2023-05-21,2023-05-28,2,5103403,22,51.4420468919214,81,96.5,27.68500860079057,2023,2023
2023-05-21,2023-05-28,2,5108402,30,38.51027689067601,74,81.75,25.515017498575364,2023,2023
2023-05-21,2023-06-04,3,5103403,30,28.77847763512407,81,96.5,19.167577645041554,2023,2023
2023-05-21,2023-06-04,3,5108402,30,28.02938456917743,74,81.75,14.446701990931142,2023,2023
2023-05-21,2023-06-11,4,5103403,23,23.477520868759324,81,96.5,26.042303919799895,2023,2023
2023-05-21,2023-06-11,4,5108402,20,22.75869278136254,74,81.75,18.512217886596886,2023,2023
2023-05-28,2023-05-28,1,5103403,22,47.19529343394563,42,84.0,23.50217803252117,2023,2023
2023-05-28,2023-05-28,1,5108402,30,41.50006390760987,36,65.5,29.05653262375389,2023,2023
2023-05-28,2023-06-04,2,5103403,30,28.020794409888673,42,84.0,20.03261887144617,2023,2023
2023-05-28,2023-06-04,2,5108402,30,31.415521065382542,36,65.5,10.171309656164876,2023,2023
2023-05-28,2023-06-11,3,5103403,23,21.31490980420649,42,84.0,12.214057985863672,2023,2023
2023-05-28,2023-06-11,3,5108402,20,21.498561281727373,36,65.5,11.437850929802782,2023,2023
2023-05-28,2023-06-18,4,5103403,33,17.769427846919974,42,84.0,10.258524118146127,2023,2023
2023-05-28,2023-06-18,4,5108402,24,13.298183776696519,36,65.5,15.212667728952841,2023,2023
2023-06-04,2023-06-04,1,5103403,30,26.348151052026676,22,61.0,17.450286133294647,2023,2023
2023-06-04,2023-06-04,1,5108402,30,27.935831264969256,30,50.5,25.0411379663536,2023,2023
2023-06-04,2023-06-11,2,5103403,23,21.54831554507757,22,61.0,11.233315945893937,2023,2023
2023-06-04,2023-06-11,2,5108402,20,22.284392410509,30,50.5,14.661764987383734,2023,2023
2023-06-04,2023-06-18,3,5103403,33,16.751347862931905,22,61.0,10.534251918775105,2023,2023
2023-06-04,2023-06-18,3,5108402,24,13.14225257262483,30,50.5,19.975590968495414,2023,2023
2023-06-04,2023-06-25,4,5103403,17,23.21795617464155,22,61.0,13.416339622918331,2023,2023
2023-06-04,2023-06-25,4,5108402,19,15.391017665571365,30,50.5,24.481076214377033,2023,2023
2023-06-11,2023-06-11,1,5103403,23,21.658181773069817,30,43.75,14.602236300540172,2023,2023
2023-06-11,2023-06-11,1,5108402,20,21.650114975202662,30,42.5,15.48210587248526,2023,2023
2023-06-11,2023-06-18,2,5103403,33,18.00742123007786,30,43.75,10.897615250785835,2023,2023
2023-06-11,2023-06-18,2,5108402,24,12.987719917479154,30,42.5,12.564350340655528,2023,2023
2023-06-11,2023-06-25,3,5103403,17,21.449717235623574,30,43.75,12.215765644046941,2023,2023
2023-06-11,2023-06-25,3,5108402,19,15.564762172763512,30,42.5,15.293194099578738,2023,2023
2023-06-11,2023-07-02,4,5103403,22,17.651746661134315,30,43.75,15.60752852214982,2023,2023
2023-06-11,2023-07-02,4,5108402,20,14.583694393229285,30,42.5,10.145488783385225,2023,2023
2023-06-18,2023-06-18,1,5103403,33,17.768517322718875,23,29.25,17.357132480028824,2023,2023
2023-06-18,2023-06-18,1,5108402,24,13.087642030079808,20,29.0,14.653464708805334,2023,2023
2023-06-18,2023-06-25,2,5103403,17,21.29952322413061,23,29.25,22.046984503963593,2023,2023
2023-06-18,2023-06-25,2,5108402,19,15.231515480071838,20,29.0,19.275069377874118,2023,2023
2023-06-18,2023-07-02,3,5103403,22,16.005472310034012,23,29.25,12.518670176244074,2023,2023
2023-06-18,2023-07-02,3,5108402,20,14.646924485089134,20,29.0,11.201052249616444,2023,2023
2023-06-18,2023-07-09,4,5103403,20,13.577455953291764,23,29.25,13.867029752257652,2023,2023
2023-06-18,2023-07-09,4,5108402,17,12.785543124145166,20,29.0,12.727528062105353,2023,2023
2023-06-25,2023-06-25,1,5103403,17,24.976933885195503,33,27.0,23.812565326996065,2023,2023
2023-06-25,2023-06-25,1,5108402,19,17.136278368643882,24,26.0,21.322108172123585,2023,2023
2023-06-25,2023-07-02,2,5103403,22,18.610675953310746,33,27.0,15.985506134416447,2023,2023
2023-06-25,2023-07-02,2,5108402,20,16.801381700569692,24,26.0,11.804561637111568,2023,2023
2023-06-25,2023-07-09,3,5103403,20,15.098407827750002,33,27.0,18.531376403836102,2023,2023
2023-06-25,2023-07-09,3,5108402,17,13.315120228382243,24,26.0,9.41931097356116,2023,2023
2023-06-25,2023-07-16,4,5103403,11,18.164169318022886,33,27.0,10.714796268230883,2023,2023
2023-06-25,2023-07-16,4,5108402,12,13.59765488022282,24,26.0,8.760585897146964,2023,2023
2023-07-02,2023-07-02,1,5103403,22,19.04086417954428,17,25.75,12.321994554450114,2023,2023
2023-07-02,2023-07-02,1,5108402,20,16.703894675033457,19,23.25,9.748945685746277,2023,2023
2023-07-02,2023-07-09,2,5103403,20,14.16967983051565,17,25.75,12.464749039240111,2023,2023
2023-07-02,2023-07-09,2,5108402,17,14.630121369492075,19,23.25,9.32028660392339,2023,2023
2023-07-02,2023-07-16,3,5103403,11,18.789452027252285,17,25.75,11.357314914207649,2023,2023
